,OPC Tag
0,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/BUILDING_PARAMETERS/WET_TEMP
1,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/BUILDING_PARAMETERS/DRY_TEMP
2,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/BUILDING_PARAMETERS/BUILD_LOAD
3,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/BUILDING_PARAMETERS/RH
4,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/CHE_TREAT_PLANT/ST
5,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/CHE_TREAT_PLANT/TRIP
6,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/CHE_TREAT_PLANT/PWR_FAIL_ALRM
7,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/GROUP_CMD
8,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/GROUP_CTRL_MODE
9,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/UPS_BYPASS_SW
10,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/UPS_COMM_ALRM
11,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/NIGHT_CTRL_MODE
12,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/FORCE_ROTATE_B
13,ns=1;s=ac:WNC/BUILDING_1/CHILLER_SYSTEM/GROUP_PATAMETERS/FORCE_ROTATE_S
14,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/BAT_LOW
15,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/BAT_DIS
16,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/BAT_AVL
17,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/BYP_ST
18,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/MNT_BYP
19,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/GEN_ALRM
20,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/V1
21,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/V2
22,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/V3
23,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/KW1
24,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/KW2
25,ns=1;s=ac:WNC/BUILDING_1/ELEC/UPS/KW3
26,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/CRIME
27,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/MANTRAP
28,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/LVL
29,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/POSITION
30,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/MAINT_MODE
31,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/FLT_ALRM
32,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/PWR_FAIL_EMG_OP
33,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/FIRE_EMG_OP
34,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/FIREMAN_OP
35,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_01/UPS_ST
36,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/CRIME
37,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/MANTRAP
38,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/LVL
39,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/POSITION
40,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/MAINT_MODE
41,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/FLT_ALRM
42,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/PWR_FAIL_EMG_OP
43,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/FIRE_EMG_OP
44,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/FIREMAN_OP
45,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_02/UPS_ST
46,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/CRIME
47,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/MANTRAP
48,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/LVL
49,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/POSITION
50,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/MAINT_MODE
51,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/FLT_ALRM
52,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/PWR_FAIL_EMG_OP
53,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/FIRE_EMG_OP
54,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/FIREMAN_OP
55,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_03/UPS_ST
56,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/CRIME
57,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/MANTRAP
58,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/LVL
59,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/POSITION
60,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/MAINT_MODE
61,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/FLT_ALRM
62,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/PWR_FAIL_EMG_OP
63,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/FIRE_EMG_OP
64,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/FIREMAN_OP
65,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_04/UPS_ST
66,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/CRIME
67,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/MANTRAP
68,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/LVL
69,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/POSITION
70,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/MAINT_MODE
71,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/FLT_ALRM
72,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/PWR_FAIL_EMG_OP
73,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/FIRE_EMG_OP
74,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/FIREMAN_OP
75,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_05/UPS_ST
76,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/CRIME
77,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/MANTRAP
78,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/LVL
79,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/POSITION
80,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/MAINT_MODE
81,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/FLT_ALRM
82,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/PWR_FAIL_EMG_OP
83,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/FIRE_EMG_OP
84,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/FIREMAN_OP
85,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_06/UPS_ST
86,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/CRIME
87,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/MANTRAP
88,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/LVL
89,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/POSITION
90,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/MAINT_MODE
91,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/FLT_ALRM
92,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/PWR_FAIL_EMG_OP
93,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/FIRE_EMG_OP
94,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/FIREMAN_OP
95,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_07/UPS_ST
96,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_08/CRIME
97,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_08/MANTRAP
98,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_08/LVL
99,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_08/POSITION
100,ns=1;s=ac:WNC/BUILDING_1/LIFT/L_BD1_08/MAINT_MODE